student_id,question_difficulty,topic_id,is_correct,response_time,hesitation_count,tab_switches,confidence_level,timestamp
69755c34-4fb4-4e5e-b058-09c3806f057e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,5.866,0,0,0.7,2026-01-15 09:08:32.753445+00:00
69755c34-4fb4-4e5e-b058-09c3806f057e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,20.367,0,0,0.3,2026-01-15 09:08:56.155595+00:00
69755c34-4fb4-4e5e-b058-09c3806f057e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,7.5,0,0,0.7,2026-01-15 09:09:07.062307+00:00
69755c34-4fb4-4e5e-b058-09c3806f057e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,7.522,0,0,0.7,2026-01-15 09:09:20.601156+00:00
be77a7a5-a6c5-4465-b285-3f2ee146ef2e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,False,39.441,0,0,0.3,2026-01-15 16:12:44.204130+00:00
be77a7a5-a6c5-4465-b285-3f2ee146ef2e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,6.01,0,0,0.7,2026-01-15 16:14:00.959074+00:00
be77a7a5-a6c5-4465-b285-3f2ee146ef2e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,True,3.147,0,0,0.9,2026-01-15 16:14:15.540828+00:00
be77a7a5-a6c5-4465-b285-3f2ee146ef2e,0.0,c8acdbac-4106-417e-a19f-7e1ef5d881db,False,5.936,0,0,0.7,2026-01-15 16:14:27.832792+00:00
4177ab50-3eda-4aee-9c16-c293218abd0c,0.0,c21d25a1-5b3e-4759-b02b-947d92e9740e,True,8.055,0,0,0.7,2026-01-19 15:41:10.225881+00:00
4177ab50-3eda-4aee-9c16-c293218abd0c,0.0,c21d25a1-5b3e-4759-b02b-947d92e9740e,False,2.568,0,0,0.9,2026-01-19 15:41:15.304588+00:00
4177ab50-3eda-4aee-9c16-c293218abd0c,0.0,c21d25a1-5b3e-4759-b02b-947d92e9740e,False,4.858,0,0,0.9,2026-01-19 15:41:22.517970+00:00
4177ab50-3eda-4aee-9c16-c293218abd0c,0.0,c21d25a1-5b3e-4759-b02b-947d92e9740e,False,4.837,0,0,0.9,2026-01-19 15:41:29.277811+00:00
4177ab50-3eda-4aee-9c16-c293218abd0c,0.0,c21d25a1-5b3e-4759-b02b-947d92e9740e,False,3.14,0,0,0.9,2026-01-19 15:41:35.318783+00:00
synthetic_student_0,1.8011725651741903,8,True,36.61,0,0,0.89,2025-12-25 22:41:40.343328
